Lines Matched,Pct1,Pct2,Moss Link,Project1,Student1,Project2,Student2
65,0,1,http://moss.stanford.edu/results/818084778/match221.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","O_P22014","H_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
65,0,2,http://moss.stanford.edu/results/818084778/match223.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","O_P12014","Al_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
63,0,1,http://moss.stanford.edu/results/818084778/match187.html,"C_P22015","Whiteman_Xavier(c251f60fcccb749423e34d7570ceecca)","O_P12014","X_Stu(5041308ef3585f4cd6051da1dccd4331)"
63,0,0,http://moss.stanford.edu/results/818084778/match189.html,"C_P22015","Whiteman_Xavier(c251f60fcccb749423e34d7570ceecca)","O_P12014","R_Stu(fdff9c54a88cb0c4288d5d2618f64fd8)"
63,0,1,http://moss.stanford.edu/results/818084778/match227.html,"C_P12015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P12014","X_Stu(5041308ef3585f4cd6051da1dccd4331)"
63,0,0,http://moss.stanford.edu/results/818084778/match229.html,"C_P12015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P12014","R_Stu(fdff9c54a88cb0c4288d5d2618f64fd8)"
63,1,0,http://moss.stanford.edu/results/818084778/match238.html,"C_P12015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","C_P22015","Whiteman_Xavier(c251f60fcccb749423e34d7570ceecca)"
63,1,0,http://moss.stanford.edu/results/818084778/match241.html,"C_P12015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","C_P12015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)"
62,0,1,http://moss.stanford.edu/results/818084778/match142.html,"C_P12015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","O_P12014","R_Stu(fdff9c54a88cb0c4288d5d2618f64fd8)"
61,0,1,http://moss.stanford.edu/results/818084778/match205.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P22014","J_Stu(fdff9c54a88cb0c4288d5d2618f64fd8)"
57,0,4,http://moss.stanford.edu/results/818084778/match86.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P12014","Al_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
57,0,0,http://moss.stanford.edu/results/818084778/match124.html,"C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","O_P22014","N_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
56,1,2,http://moss.stanford.edu/results/818084778/match48.html,"C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P12014","T_Stu(21f2212719b3c956cfeec91a639a019f)"
56,0,4,http://moss.stanford.edu/results/818084778/match62.html,"C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P22014","H_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
56,0,6,http://moss.stanford.edu/results/818084778/match63.html,"C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P12014","Al_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
56,0,0,http://moss.stanford.edu/results/818084778/match209.html,"C_P12015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P22014","L_Stu(21f2212719b3c956cfeec91a639a019f)"
56,0,1,http://moss.stanford.edu/results/818084778/match210.html,"C_P12015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P22014","J_Stu(fdff9c54a88cb0c4288d5d2618f64fd8)"
56,0,0,http://moss.stanford.edu/results/818084778/match212.html,"C_P12015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P12014","T_Stu(21f2212719b3c956cfeec91a639a019f)"
55,1,1,http://moss.stanford.edu/results/818084778/match37.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","C_P22015","Gonzales_Pedro(a876148095ff319cdf1d6d971f2c0ca5)"
50,1,4,http://moss.stanford.edu/results/818084778/match40.html,"C_P22015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","O_P22014","I_Stu(c87f16d0e9cda269a5c19e68612109b1)"
47,2,0,http://moss.stanford.edu/results/818084778/match55.html,"C_P12015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)"
44,0,1,http://moss.stanford.edu/results/818084778/match109.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P12014","T_Stu(21f2212719b3c956cfeec91a639a019f)"
41,0,5,http://moss.stanford.edu/results/818084778/match66.html,"C_P22015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","O_P12014","Q_Stu(c87f16d0e9cda269a5c19e68612109b1)"
41,1,0,http://moss.stanford.edu/results/818084778/match96.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)"
40,2,0,http://moss.stanford.edu/results/818084778/match47.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)"
39,1,2,http://moss.stanford.edu/results/818084778/match38.html,"C_P22015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
39,4,3,http://moss.stanford.edu/results/818084778/match88.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","O_P22014","H_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
38,1,0,http://moss.stanford.edu/results/818084778/match60.html,"C_P12015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
37,0,1,http://moss.stanford.edu/results/818084778/match206.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P22014","H_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
37,0,2,http://moss.stanford.edu/results/818084778/match207.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P12014","Al_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
36,2,1,http://moss.stanford.edu/results/818084778/match39.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","C_P22015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)"
35,1,1,http://moss.stanford.edu/results/818084778/match61.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P22014","L_Stu(21f2212719b3c956cfeec91a639a019f)"
35,0,0,http://moss.stanford.edu/results/818084778/match204.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)"
34,6,1,http://moss.stanford.edu/results/818084778/match49.html,"C_P12015","Sunam_Jerry(a078102843453dd4fe10ec0873d6e998)","O_P22014","N_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
34,1,3,http://moss.stanford.edu/results/818084778/match76.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","O_P22014","H_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
30,1,0,http://moss.stanford.edu/results/818084778/match45.html,"C_P12015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)"
29,1,0,http://moss.stanford.edu/results/818084778/match50.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","C_P22015","Gonzales_Pedro(a876148095ff319cdf1d6d971f2c0ca5)"
29,0,1,http://moss.stanford.edu/results/818084778/match51.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P22014","K_Stu(b72a6ef515dfe775b81c412263fcc24d)"
29,1,0,http://moss.stanford.edu/results/818084778/match52.html,"C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
29,1,1,http://moss.stanford.edu/results/818084778/match53.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)"
27,0,1,http://moss.stanford.edu/results/818084778/match43.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
27,1,1,http://moss.stanford.edu/results/818084778/match70.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","C_P12015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
25,6,1,http://moss.stanford.edu/results/818084778/match58.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
25,6,1,http://moss.stanford.edu/results/818084778/match59.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)"
25,0,2,http://moss.stanford.edu/results/818084778/match71.html,"C_P12015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","O_P22014","I_Stu(c87f16d0e9cda269a5c19e68612109b1)"
25,0,4,http://moss.stanford.edu/results/818084778/match110.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P12014","Q_Stu(c87f16d0e9cda269a5c19e68612109b1)"
24,0,0,http://moss.stanford.edu/results/818084778/match146.html,"C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P22014","L_Stu(21f2212719b3c956cfeec91a639a019f)"
24,2,0,http://moss.stanford.edu/results/818084778/match147.html,"C_P12015","Sunam_Jerry(a078102843453dd4fe10ec0873d6e998)","O_P12014","V_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
23,2,1,http://moss.stanford.edu/results/818084778/match56.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","O_P22014","N_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
23,2,2,http://moss.stanford.edu/results/818084778/match57.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","O_P12014","V_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
23,2,0,http://moss.stanford.edu/results/818084778/match170.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","O_P22014","N_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
23,2,0,http://moss.stanford.edu/results/818084778/match171.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","O_P12014","V_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
22,0,0,http://moss.stanford.edu/results/818084778/match108.html,"C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
22,0,0,http://moss.stanford.edu/results/818084778/match111.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)"
22,0,0,http://moss.stanford.edu/results/818084778/match112.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)"
21,0,1,http://moss.stanford.edu/results/818084778/match75.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P12014","T_Stu(21f2212719b3c956cfeec91a639a019f)"
21,0,0,http://moss.stanford.edu/results/818084778/match106.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
20,1,0,http://moss.stanford.edu/results/818084778/match94.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
20,1,0,http://moss.stanford.edu/results/818084778/match95.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
20,1,0,http://moss.stanford.edu/results/818084778/match97.html,"C_P12015","Green_Simonel(86c7ea55381094ef1374bc79524ba7b7)","C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)"
20,1,0,http://moss.stanford.edu/results/818084778/match117.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","O_P22014","K_Stu(b72a6ef515dfe775b81c412263fcc24d)"
20,0,2,http://moss.stanford.edu/results/818084778/match120.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","O_P12014","Al_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
20,2,2,http://moss.stanford.edu/results/818084778/match143.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","O_P12014","Al_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
